# rho at max Q =   26.961
# max Q        = 2647.060
# simulation timestep (model parameter for iterated map models) = 0.400
# rho[1/km],     s[m], vEq[km/h], Q[veh/h]
    0.00,     0.00,   119.99,     0.00
    2.50,   392.00,   119.99,   299.97
    5.00,   192.00,   119.99,   599.94
    7.50,   125.33,   119.99,   899.91
   10.00,    92.00,   119.99,  1199.88
   12.50,    72.00,   119.99,  1499.85
   15.00,    58.67,   119.99,  1799.82
   17.50,    49.14,   119.99,  2099.79
   20.00,    42.00,   119.99,  2399.76
   22.50,    36.44,   119.99,  2699.73
   25.00,    32.00,   108.00,  2700.00
   27.50,    28.36,    94.91,  2610.00
   30.00,    25.33,    84.00,  2520.00
   32.50,    22.77,    74.77,  2430.00
   35.00,    20.57,    66.86,  2340.00
   37.50,    18.67,    60.00,  2250.00
   40.00,    17.00,    54.00,  2160.00
   42.50,    15.53,    48.71,  2070.00
   45.00,    14.22,    44.00,  1980.00
   47.50,    13.05,    39.79,  1890.00
   50.00,    12.00,    36.00,  1800.00
   52.50,    11.05,    32.57,  1710.00
   55.00,    10.18,    29.45,  1620.00
   57.50,     9.39,    26.61,  1530.01
   60.00,     8.67,    24.00,  1440.01
   62.50,     8.00,    21.60,  1350.01
   65.00,     7.38,    19.38,  1260.01
   67.50,     6.81,    17.33,  1170.01
   70.00,     6.29,    15.43,  1080.02
   72.50,     5.79,    13.66,   990.02
   75.00,     5.33,    12.00,   900.03
   77.50,     4.90,    10.45,   810.04
   80.00,     4.50,     9.00,   720.06
   82.50,     4.12,     7.64,   630.09
   85.00,     3.76,     6.35,   540.15
   87.50,     3.43,     5.15,   450.27
   90.00,     3.11,     4.01,   360.50
   92.50,     2.81,     2.93,   271.03
   95.00,     2.53,     1.92,   182.34
   97.50,     2.26,     0.98,    95.96
  100.00,     2.00,     0.17,    16.90
  102.50,     1.76,     0.00,     0.00
  105.00,     1.52,     0.00,     0.00
  107.50,     1.30,     0.00,     0.00
  110.00,     1.09,     0.00,     0.00
  112.50,     0.89,     0.00,     0.00
  115.00,     0.70,     0.00,     0.00
  117.50,     0.51,     0.00,     0.00
  120.00,     0.33,     0.00,     0.00
  122.50,     0.16,     0.00,     0.00
  125.00,     0.00,     0.00,     0.00
