#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
      1.20,    1,    13548.5,    30.5212,    0.30811,     992.05,   0.000000,  ACC1,            1,        1,        1, , 1970-01-01T00:00:01Z, 13548.4514
      1.20,    1,    13048.5,    30.5212,    0.30811,     491.98,  -0.000000,  ACC1,            2,        1,        1, , 1970-01-01T00:00:01Z, 13048.4764
      1.20,    1,    12548.5,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,            3,        1,        1, , 1970-01-01T00:00:01Z, 12548.5014
      1.20,    1,    12048.5,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,            4,        1,        1, , 1970-01-01T00:00:01Z, 12048.5264
      1.20,    1,    11548.6,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,            5,        1,        1, , 1970-01-01T00:00:01Z, 11548.5514
      1.20,    1,    11048.6,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,            6,        1,        1, , 1970-01-01T00:00:01Z, 11048.5764
      1.20,    1,    10548.6,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,            7,        1,        1, , 1970-01-01T00:00:01Z, 10548.6014
      1.20,    1,    10048.6,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,            8,        1,        1, , 1970-01-01T00:00:01Z, 10048.6264
      1.20,    1,     9548.7,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,            9,        1,        1, , 1970-01-01T00:00:01Z,  9548.6514
      1.20,    1,     9048.7,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           10,        1,        1, , 1970-01-01T00:00:01Z,  9048.6764
      1.20,    1,     8548.7,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           11,        1,        1, , 1970-01-01T00:00:01Z,  8548.7014
      1.20,    1,     8048.7,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           12,        1,        1, , 1970-01-01T00:00:01Z,  8048.7264
      1.20,    1,     7548.8,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           13,        1,        1, , 1970-01-01T00:00:01Z,  7548.7514
      1.20,    1,     7048.8,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           14,        1,        1, , 1970-01-01T00:00:01Z,  7048.7764
      1.20,    1,     6548.8,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           15,        1,        1, , 1970-01-01T00:00:01Z,  6548.8014
      1.20,    1,     6048.8,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           16,        1,        1, , 1970-01-01T00:00:01Z,  6048.8264
      1.20,    1,     5548.9,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           17,        1,        1, , 1970-01-01T00:00:01Z,  5548.8514
      1.20,    1,     5048.9,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           18,        1,        1, , 1970-01-01T00:00:01Z,  5048.8764
      1.20,    1,     4548.9,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           19,        1,        1, , 1970-01-01T00:00:01Z,  4548.9014
      1.20,    1,     4048.9,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           20,        1,        1, , 1970-01-01T00:00:01Z,  4048.9264
      1.20,    1,     3549.0,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           21,        1,        1, , 1970-01-01T00:00:01Z,  3548.9514
      1.20,    1,     3049.0,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           22,        1,        1, , 1970-01-01T00:00:01Z,  3048.9764
      1.20,    1,     2549.0,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           23,        1,        1, , 1970-01-01T00:00:01Z,  2549.0014
      1.20,    1,     2049.0,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           24,        1,        1, , 1970-01-01T00:00:01Z,  2049.0264
      1.20,    1,     1549.1,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           25,        1,        1, , 1970-01-01T00:00:01Z,  1549.0514
      1.20,    1,     1049.1,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           26,        1,        1, , 1970-01-01T00:00:01Z,  1049.0764
      1.20,    1,      549.1,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           27,        1,        1, , 1970-01-01T00:00:01Z,   549.1014
      1.20,    1,    15548.5,    30.5212,    0.30811,     992.15,   0.000000,  ACC1,           29,        2,        2, , 1970-01-01T00:00:01Z, 15548.4514
      1.20,    1,    15048.5,    30.5212,    0.30811,     491.98,  -0.000000,  ACC1,           30,        2,        2, , 1970-01-01T00:00:01Z, 15048.4764
      1.20,    1,    14548.5,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           31,        2,        2, , 1970-01-01T00:00:01Z, 14548.5014
      1.20,    1,    19548.5,    30.5212,    0.30811,       0.00,   0.000000,  ACC1,           33,        3,        3, , 1970-01-01T00:00:01Z, 19548.4514
      1.20,    1,    19048.5,    30.5212,    0.30811,     491.98,  -0.000000,  ACC1,           34,        3,        3, , 1970-01-01T00:00:01Z, 19048.4764
      1.20,    1,    18548.5,    30.5212,    0.30811,     491.98,  -0.000000,  ACC1,           35,        3,        3, , 1970-01-01T00:00:01Z, 18548.5014
      1.20,    1,    18048.5,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           36,        3,        3, , 1970-01-01T00:00:01Z, 18048.5264
      1.20,    1,    17548.6,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           37,        3,        3, , 1970-01-01T00:00:01Z, 17548.5514
      1.20,    1,    17048.6,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           38,        3,        3, , 1970-01-01T00:00:01Z, 17048.5764
      1.20,    1,    16548.6,    30.5212,    0.30811,     491.98,   0.000000,  ACC1,           39,        3,        3, , 1970-01-01T00:00:01Z, 16548.6014
