#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
     32.00,    1,       19.6,    13.8801,   -0.00004,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:32Z,    19.5752
     33.00,    1,       33.5,    13.8800,   -0.00003,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:33Z,    33.4553
     34.00,    1,       47.3,    13.8800,   -0.00002,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:34Z,    47.3353
     35.00,    1,       61.2,    13.8800,   -0.00002,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:35Z,    61.2153
     35.00,    1,       13.2,    13.4060,    0.01068,      38.03,  -0.474012,  IDM,            7,        2,        1, , 1970-01-01T00:00:35Z,    13.1891
     36.00,    1,       75.1,    13.8800,   -0.00001,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:36Z,    75.0953
     36.00,    1,       26.6,    13.4163,    0.01011,      38.50,  -0.463636,  IDM,            7,        2,        1, , 1970-01-01T00:00:36Z,    26.6003
     37.00,    1,       89.0,    13.8800,   -0.00001,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:37Z,    88.9753
     37.00,    1,       40.0,    13.4262,    0.00959,      38.95,  -0.453804,  IDM,            7,        2,        1, , 1970-01-01T00:00:37Z,    40.0216
     38.00,    1,      102.9,    13.8800,   -0.00001,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:38Z,   102.8552
     38.00,    1,       53.5,    13.4355,    0.00911,      39.40,  -0.444471,  IDM,            7,        2,        1, , 1970-01-01T00:00:38Z,    53.4524
     39.00,    1,      116.7,    13.8800,   -0.00001,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:39Z,   116.7352
     39.00,    1,       66.9,    13.4444,    0.00867,      39.84,  -0.435599,  IDM,            7,        2,        1, , 1970-01-01T00:00:39Z,    66.8924
     40.00,    1,      130.6,    13.8800,   -0.00000,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:40Z,   130.6152
     40.00,    1,       80.3,    13.4528,    0.00826,      40.27,  -0.427151,  IDM,            7,        2,        1, , 1970-01-01T00:00:40Z,    80.3410
     40.00,    1,       14.8,    12.4476,    0.04195,      59.57,  -1.005242,  TruckVehicleType,            9,        2,        1, , 1970-01-01T00:00:40Z,    14.7669
     41.00,    1,      144.5,    13.8799,   -0.00000,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:41Z,   144.4951
     41.00,    1,       93.8,    13.4609,    0.00788,      40.70,  -0.419096,  IDM,            7,        2,        1, , 1970-01-01T00:00:41Z,    93.7979
     41.00,    1,       27.2,    12.4879,    0.03905,      60.56,  -0.972962,  TruckVehicleType,            9,        2,        1, , 1970-01-01T00:00:41Z,    27.2348
     42.00,    1,      158.4,    13.8799,   -0.00000,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:42Z,   158.3750
     42.00,    1,      107.3,    13.4685,    0.00753,      41.11,  -0.411406,  IDM,            7,        2,        1, , 1970-01-01T00:00:42Z,   107.2626
     42.00,    1,       39.7,    12.5255,    0.03643,      61.52,  -0.943063,  TruckVehicleType,            9,        2,        1, , 1970-01-01T00:00:42Z,    39.7417
     43.00,    1,      172.3,    13.8799,   -0.00000,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:43Z,   172.2550
     43.00,    1,      120.7,    13.4759,    0.00720,      41.52,  -0.404055,  IDM,            7,        2,        1, , 1970-01-01T00:00:43Z,   120.7348
     43.00,    1,       52.3,    12.5606,    0.03405,      62.45,  -0.915311,  TruckVehicleType,            9,        2,        1, , 1970-01-01T00:00:43Z,    52.2849
     44.00,    1,      186.1,    13.8799,   -0.00000,       0.00,   0.000000,  TruckVehicleType,            4,        2,        1, , 1970-01-01T00:00:44Z,   186.1349
     44.00,    1,      134.2,    13.4829,    0.00690,      41.92,  -0.397020,  IDM,            7,        2,        1, , 1970-01-01T00:00:44Z,   134.2143
     44.00,    1,       64.9,    12.5934,    0.03190,      63.35,  -0.889496,  TruckVehicleType,            9,        2,        1, , 1970-01-01T00:00:44Z,    64.8621
     44.00,    1,       15.0,    13.3274,   -0.01487,      39.86,   0.733944,  IDM,           12,        2,        1, , 1970-01-01T00:00:44Z,    15.0008
     45.00,    1,      147.7,    13.4897,    0.00661,      42.31,  -0.390279,  IDM,            7,        2,        1, , 1970-01-01T00:00:45Z,   147.7006
     45.00,    1,       77.5,    12.6242,    0.02995,      64.23,  -0.865428,  TruckVehicleType,            9,        2,        1, , 1970-01-01T00:00:45Z,    77.4711
     45.00,    1,       28.3,    13.3126,   -0.01459,      39.15,   0.688414,  IDM,           12,        2,        1, , 1970-01-01T00:00:45Z,    28.3208
     46.00,    1,      161.2,    13.5942,    0.46137,       0.00,   0.000000,  IDM,            7,        2,        1, , 1970-01-01T00:00:46Z,   161.2036
     46.00,    1,       90.1,    12.6534,    0.03074,      65.09,  -0.940771,  TruckVehicleType,            9,        2,        1, , 1970-01-01T00:00:46Z,    90.1100
