#     t[s], lane,       x[m],     v[m/s],   a[m/s^2],     gap[m],    dv[m/s], label,           id,	roadId, originId, infoComment, absTime, xWithOffset[m]
     25.20,    2,       27.4,    13.8804,   -0.00015,       0.00,   0.000000,  IDM,            2,        2,        1, , 1970-01-01T00:00:25Z,    27.4356
     27.00,    1,       13.3,    13.8768,    0.00123,       0.00,   0.000000,  IDM,            3,        2,        1, , 1970-01-01T00:00:27Z,    13.2525
     30.60,    1,       12.1,    13.3416,    0.18908,      45.16,  -0.537413,  IDM,            6,        2,        1, , 1970-01-01T00:00:30Z,    12.0562
     30.60,    2,       17.8,    13.8050,    0.02874,      78.62,  -0.075025,  IDM,            4,        2,        1, , 1970-01-01T00:00:30Z,    17.7721
     34.20,    2,       14.3,    13.3741,    0.17872,      46.79,  -0.258632,  IDM,            5,        2,        1, , 1970-01-01T00:00:34Z,    14.3066
     36.00,    1,       16.8,    13.6307,    0.09242,      60.59,   0.468026,  IDM,            7,        2,        1, , 1970-01-01T00:00:36Z,    16.7764
     37.80,    2,        8.9,    13.3461,    0.18767,      47.06,   0.194021,  IDM,            9,        2,        1, , 1970-01-01T00:00:37Z,     8.8864
     39.60,    1,        7.1,    13.4531,    0.15306,      52.16,   0.094241,  IDM,            8,        2,        1, , 1970-01-01T00:00:39Z,     7.0897
     43.20,    2,       27.6,    13.2012,   -0.14675,      46.11,   0.190107,  IDM,           10,        2,        1, , 1970-01-01T00:00:43Z,    27.6244
     45.00,    1,       14.1,    13.6236,    0.09492,      58.65,   0.446354,  IDM,           12,        2,        1, , 1970-01-01T00:00:45Z,    14.1010
     46.80,    2,       27.4,    13.0444,   -0.16769,      41.28,   0.071366,  IDM,           11,        2,        1, , 1970-01-01T00:00:46Z,    27.3626
     48.60,    1,       15.0,    13.2213,    0.22629,      41.47,  -0.107077,  IDM,           13,        2,        1, , 1970-01-01T00:00:48Z,    15.0391
     50.40,    2,        6.4,    13.6070,    0.10077,      61.38,   0.811581,  IDM,           14,        2,        1, , 1970-01-01T00:00:50Z,     6.3921
     55.80,    1,       20.4,    13.7178,   -0.09614,      81.92,   0.837727,  IDM,           16,        2,        1, , 1970-01-01T00:00:55Z,    20.4340
     55.80,    2,        6.9,    13.6443,    0.08761,      65.75,   0.403162,  IDM,           15,        2,        1, , 1970-01-01T00:00:55Z,     6.8702
     59.40,    1,       18.6,    13.1059,   -0.05530,      44.83,  -0.441734,  IDM,           17,        2,        1, , 1970-01-01T00:00:59Z,    18.6233
     61.20,    2,       12.4,    13.6349,    0.09095,      61.22,   0.250062,  IDM,           18,        2,        1, , 1970-01-01T00:01:01Z,    12.4325
     64.80,    1,        9.0,    13.7536,    0.04796,      74.12,   0.711834,  IDM,           20,        2,        1, , 1970-01-01T00:01:04Z,     8.9930
     66.60,    2,       20.0,    13.4995,   -0.10064,      59.08,   0.147164,  IDM,           19,        2,        1, , 1970-01-01T00:01:06Z,    19.9852
     70.20,    1,       19.6,    13.4291,   -0.07917,      56.63,  -0.039671,  IDM,           21,        2,        1, , 1970-01-01T00:01:10Z,    19.6417
     72.00,    2,        8.4,    13.7491,    0.04965,      77.77,   0.444687,  IDM,           22,        2,        1, , 1970-01-01T00:01:12Z,     8.4215
     75.60,    1,       10.4,    13.7621,    0.04481,      75.19,   0.480477,  IDM,           24,        2,        1, , 1970-01-01T00:01:15Z,    10.4416
